issue_id,category,severity,title,affected_files,audit_file,section,dependencies,root_cause,business_impact,technical_impact,risk_of_fix,estimated_effort,regression_risk,testing_required,rollback_required,status,phase
ISS-001,Security/Authentication,Critical,"Zero authentication enforcement anywhere in the request path","src/middleware.ts; middleware.ts (root); src/app/layout.tsx; src/app/(crm)/layout.tsx; src/app/(crm)/dashboard/layout.tsx","AUTH_AUDIT.md","Protected routes / middleware; Whether Supabase Auth is actually used","None - never implemented, comment says TEMP","Active middleware explicitly disables all protection ('TEMP: allow everything while stabilizing app')","Any unauthenticated visitor can load every CRM page (leads, proposals, revenue, settings, admin)","No defense-in-depth at the framework level; every page relies on nothing","Medium - must not break legitimate logged-in flows or public pages (chat widget, proposal share links, webhook)","Medium","High - touches every page in the app","Full manual click-through of every route logged-in and logged-out; automated route-guard test once tests exist","YES - feature-flag or revert commit","Ready","Phase 2"
ISS-002,Security/API,Critical,"26 of 31 API routes perform no session/auth check at all","src/app/api/**/route.ts (26 of 31 files - see routes.csv auth_check=NO)","ROUTES.md","Authentication / role checks, by route","ISS-001 (shared auth helper should be built once)","No auth check was ever added to these routes; only 4 routes were individually hardened","Any client can read/write leads, proposals, payments, campaigns, analytics without logging in","API is the actual data boundary since RLS is bypassed by service-role client (ISS-011) - this is the only real access control layer, and it is absent","Medium-High - must distinguish intentionally-public routes (chat, webhook, share, health, track-view) from ones that need auth","Large","High - 26 files touched","Per-route: authenticated request succeeds, unauthenticated request rejected (401); regression test on the intentionally-public allowlist","YES - per-route revert, ship behind allowlist config","Ready","Phase 2"
ISS-003,Security/Authorization,High,"Admin role check compares the wrong field - likely always denies or never denies","src/app/api/admin/users/route.ts (lines 13,33,74); src/lib/supabase-server.ts (getCurrentUser, lines 43-55)","AUTH_AUDIT.md","Admin-only logic / role checks","ISS-016 (user_profiles table must exist and be queryable first)","getCurrentUser() returns the raw Supabase Auth User object; its .role is the GoTrue role, never joined against user_profiles.role","Admin user-management panel is either completely inaccessible to real admins or (worse) fails open depending on GoTrue's default role value","Broken authorization logic on the one route that has a role check at all","Low - isolated to one file, well-understood fix (join user_profiles before comparing)","Small","Low","Manual: log in as seeded admin and non-admin, verify 200/403 respectively; automated test once framework exists","YES - single file revert","Ready","Phase 2"
ISS-004,Security/Integrations-WhatsApp,High,"WhatsApp webhook POST handler has no signature/HMAC verification","src/app/api/whatsapp/webhook/route.ts (POST handler, line 48 onward)","AUTH_AUDIT.md; ROUTES.md","WhatsApp integration; Authentication / role checks","None","X-Hub-Signature-256 verification was never implemented","Anyone who discovers the webhook URL can forge inbound WhatsApp messages, trigger auto-replies, create fake leads/conversations","Webhook trusts all input; feeds directly into leads/conversations tables","Medium - must not break the real Meta webhook handshake or message delivery while adding verification","Medium","Medium - webhook is external-facing, hard to fully test without Meta sandbox","Manual test with valid and forged signatures against a Meta test app; regression test on legitimate message flow","YES - can ship signature check behind a flag that logs-but-doesn't-reject first","Ready","Phase 2"
ISS-005,Security/API,High,"No input validation (zod) on any of the 31 API routes","src/app/api/**/route.ts (all 31 files); package.json (zod declared, unused)","ROUTES.md; PROJECT_DISCOVERY.md","Zod / input validation","None","zod was added as a dependency but never wired in; only ad hoc manual checks exist on some routes","Malformed/malicious payloads can reach Supabase writes and the Auth admin-create-user call unvalidated","No schema boundary between untrusted input and business logic/DB writes","Medium - must define correct schemas without breaking existing valid payloads from the frontend","Large (31 routes)","Medium","Per-route: valid payload still works, invalid payload now returns 400 with a clear message","YES - schema validation can be added route-by-route, each independently revertible","Ready","Phase 5"
ISS-006,Security/Database,High,"28 of 31 API routes use the service-role Supabase client, bypassing RLS entirely","src/lib/supabase.ts (getSupabaseAdmin, lines 15-27); src/app/api/**/route.ts (28 files)","ROUTES.md; DATABASE_AUDIT.md","Service-role vs session-scoped vs anon client, by route; Row Level Security","ISS-002 (route-level auth must exist before RLS can be meaningfully relied upon as defense-in-depth)","Architectural choice, likely made to avoid dealing with per-user RLS policies during rapid feature development","RLS policies defined in the database are almost entirely decorative in practice - the API route code is the only real access boundary, and most of it has none (ISS-002)","Single-tier trust model; any route bug is a full-database bug","High - re-architecting data access is invasive and touches every route","Large","High","Full regression pass on every route after any client-switch; cannot be done piecemeal safely","YES - must be planned as a dedicated phase with rollback per route","Blocked","Phase 3 (design decision required first)"
ISS-007,Database/RLS,High,"notification_settings table has a policy but Row Level Security was never enabled on it","supabase/migrations/004_phase4_campaigns.sql (table created, line 147); supabase/migrations/005_stability_patch.sql (policy created, line 148)","DATABASE_AUDIT.md; migrations.csv","Row Level Security","None","ENABLE ROW LEVEL SECURITY statement for this table was never written in any of the 9 migrations","VIP threshold, daily-summary phone number, and other operational config are fully open to anyone with the anon key","Policy is a documented no-op; table has effectively no access control","Low - single ALTER TABLE statement, additive, low blast radius","Small","Low","Anon-key read/write attempt before and after; confirm service-role access unaffected","YES - trivial to disable RLS again if something breaks","Ready","Phase 3"
ISS-008,Database/RLS,High,"conversations table has an anonymous UPDATE policy with no row scoping (USING TRUE)","supabase/migrations/001_initial_schema.sql (lines 258-259); supabase/migrations/005_stability_patch.sql (lines 90-91, renamed conversations_anon_update)","DATABASE_AUDIT.md","CREATE POLICY statements - full inventory","None","Policy was written permissively, likely to let the anonymous chat widget update its own conversation, but with no session/ownership scoping","Any anonymous client can overwrite any customer's conversation record, including extracted PII fields and escalation state","Data integrity and confidentiality gap on a customer-data table","Medium - must identify the legitimate use case (chat widget updating its own session) and scope the policy without breaking it","Medium","Medium","Chat widget end-to-end test (create + update own conversation should still work); attempt to update a different session_id's conversation (should now fail)","YES - policy change is a single reversible migration","Ready","Phase 3"
ISS-009,Database/Business-Logic,Critical,"Five tables/views used by live API routes do not exist in any migration file","src/app/api/admin/users/route.ts; src/app/api/proposals/[id]/invoice/route.ts; src/app/api/proposals/[id]/payment/route.ts; src/app/api/proposals/[id]/receipt/route.ts; src/app/api/leads/import/route.ts","DATABASE_AUDIT.md; ROUTES.md","Tables/views referenced in application code but ABSENT from every migration","None (needs live-DB investigation first)","Either undocumented manual schema changes in the live Supabase project (drift from this repo), or these features have never worked","Admin user management, proposal invoicing, payment recording, receipts, and lead import may all be silently broken in production right now","Repo cannot be used to stand up a working database from scratch; 'install and start using it' is not currently possible","Low to write the missing migration IF the live schema is known; Medium if schema must be reverse-engineered from the live DB first","Medium","Medium","Query live Supabase project's information_schema to capture actual column definitions; test each affected route end-to-end after migration is written","YES - new migration only, additive","Blocked","Phase 3 (live DB inspection is a prerequisite)"
ISS-010,Database/Business-Logic,Critical,"leads.lead_stage column is used extensively in code but never created by any migration","src/app/api/dashboard/stats/route.ts; src/app/api/leads/hot/route.ts; src/app/api/proposals/intelligence/route.ts; src/modules/leads/lead-stage-manager.ts; src/modules/leads/types.ts; src/modules/automation/escalation-engine.ts; supabase/migrations/010_phase5_proposal_intelligence.sql (view reference only, line 200)","DATABASE_AUDIT.md","Tables/views referenced in application code but ABSENT from every migration","None (needs live-DB investigation first)","Same as ISS-009 - either schema drift or a genuinely broken feature","Dashboard stats, hot-leads view, and proposal intelligence all read this column; if truly absent, these features return null/incorrect data silently","Core lead-pipeline feature (stage tracking) may not function at all","Low once the correct column definition is confirmed against the live DB","Small","Low-Medium","Confirm column exists in live DB via information_schema; if missing, write migration and verify dashboard/stats and leads/hot render real stage data afterward","YES - additive column, safe to add","Blocked","Phase 3 (live DB inspection is a prerequisite)"
